"Transaction ID","Date & Time","Direction","Trade Size (USD)","True Direction"
"0x21d246dede0f8a988febf76acc5dfe44a79c968bc7d6c5b4849ce3990631e2e3","2024-01-01 00:01:47","WETH → USDT",30.24471743891402,true
"0xa994313725637f5fba883f93e9b1db74b3431a0ca637ad83281e4a8745d55b85","2024-01-01 00:01:47","WETH → USDT",1231.0650171217437,true
"0x7182875f58292740ce7cf50658d24cf20696d277487463343b8f55808efb17ec","2024-01-01 00:02:59","WETH → USDT",499.20102109694386,true
"0x3669924727208f742c290cac3c6140173b21455cd4768ba7361dcba5ab9a6a1f","2024-01-01 00:03:35","USDT → WETH",6.601267195631101,false
"0xbfda1e9514c3891674be0c1e14e7d232074fa9ffc328abf3f0faa69194ffdb5f","2024-01-01 00:03:35","USDT → WETH",0.785837607520922,false
"0x7477e3c28e49e898270ff28b8c68a1540cc9205abe9d28ebe0f402ba2077f76b","2024-01-01 00:04:35","USDT → WETH",1.4406208903841387,false
"0x0f03f1ddba85a32163ac8f51f4370007a03d7f697f643573b949e34e37e6a211","2024-01-01 00:04:47","USDT → WETH",0.1659473731130753,false
"0x6bee923ae28e7d63a4eb3cc197f4ed91c4c464f0719854b57b22b8649d83ba1c","2024-01-01 00:04:47","USDT → WETH",6.2428522894417275,false
"0x7ae3bd583f87adae56824d4df7fdab7d82e47d8d36a35d8732ec014d3ad9ff24","2024-01-01 00:05:11","WETH → USDT",20.621398253805012,true
"0x4b926247b6aa7e0998fceb9352aa3f578c1812c88d466f5e9936118c3ede8dbb","2024-01-01 00:05:35","USDT → WETH",7.282795590924199,false
"0x2a6273de5b9e33a107a96544a7b371957438cc1ccc9d6c0602790067333e922a","2024-01-01 00:06:23","USDT → WETH",9.288548599469399,false
"0x06dced1a1e00d716ef6877dd3aa8a7aaec117483fcb0acd00095394b525bed0a","2024-01-01 00:07:35","USDT → WETH",0.9485273996390602,false
"0x5983db0d00fc6e053b2ed3a995331a201c7bef907e5e1df8e095e45407c4cfb5","2024-01-01 00:07:35","WETH → USDT",108.16699182486062,true
"0xdee53be79a24b6392b3376ee42f6e3f80b7fc80f4e15e19c974418d28f0ab7d5","2024-01-01 00:07:59","WETH → USDT",1346.162421157729,true
"0x2ef08501e6fc5c1f49ba3c5bc8c5cfbdcfc9cc2f7e0c27bd20c9af79fa3fb2f0","2024-01-01 00:08:35","USDT → WETH",0.5939140849011426,false
"0x3e130a7fc80b4c77408305f1fa04197efff4355397d3a608449d1d02eed85b61","2024-01-01 00:08:35","WETH → USDT",929.912314991956,true
"0xd1b5468aa1ceb080b34f531e5f63c7178578bc8d9f03b43f436ab3379dfee458","2024-01-01 00:08:59","USDT → WETH",1.4711662628743394,false
"0xdc04e03bc9bd64bc6846e016f81cdf83d862859dacb87ba54ec9725dee938345","2024-01-01 00:09:11","WETH → USDT",1386.7383905656582,true
"0x03a30b8faed06cb9395e5c59b321dd33df15ac964537bfe5601d2974bd9b6f14","2024-01-01 00:10:11","WETH → USDT",88.61235143437311,true
"0x8e38f6adfabd60ec000845c64db06d5c74286cb7e231f8e94a40c781ac92e3ab","2024-01-01 00:10:23","WETH → USDT",54.96290014580829,true
