"Date","WETH/USDT Average","USDT/WETH Average","Binance Mid Price"
"2024-01-01",2280.901074429367,0.000007637601169652125,"N/A"
"2024-01-02",2355.000317515394,0.000006887215401624468,"N/A"
"2024-01-03",2349.245132127358,0.00000682451658500073,"N/A"
"2024-01-04",2204.582739478333,0.00000653316063506345,"N/A"
"2024-01-05",2261.5385462517643,0.000007325008108523642,"N/A"
"2024-01-06",2259.875237698566,0.000007589762404826081,"N/A"
"2024-01-07",2232.329612792845,0.000006173799977558818,"N/A"
"2024-01-08",2204.7953456305986,0.000008384482512402813,"N/A"
"2024-01-09",2322.6784601078275,0.00000916492300539921,"N/A"
"2024-01-10",2356.5882104317407,0.00000708013802327421,"N/A"
"2024-01-11",2572.9123711684824,0.000008236934906379408,"N/A"
"2024-01-12",2604.841687070922,0.000006836218022237905,"N/A"
"2024-01-13",2521.108201824036,0.000006682885183926,"N/A"
"2024-01-14",2567.998371802479,0.000006252681988148857,"N/A"
"2024-01-15",2475.000409453356,0.000006776583458918189,"N/A"
"2024-01-16",2508.5012600184605,0.000006395299691384133,"N/A"
"2024-01-17",2582.5055638249455,0.000006877521293370088,"N/A"
"2024-01-18",2525.039645853933,0.000006905323582072397,"N/A"
"2024-01-19",2463.635204911478,0.000006316802923854207,"N/A"
"2024-01-20",2482.2093386790466,0.000007424381095852269,"N/A"
"2024-01-21",2463.33084433169,0.0000069581041385305856,"N/A"
"2024-01-22",2451.6123107830717,0.000007648305071433222,"N/A"
"2024-01-23",2311.871048590712,0.000007154481689074224,"N/A"
"2024-01-24",2233.5862338134607,0.000007801671256260774,"N/A"
"2024-01-25",2226.2970475589086,0.00000769842645187821,"N/A"
"2024-01-26",2212.263605308662,0.000007134680808491429,"N/A"
"2024-01-27",2260.803835167246,0.0000068599493805185656,"N/A"
"2024-01-28",2263.04933648935,0.000011263811447028501,"N/A"
"2024-01-29",2247.724782313828,0.000007491351225720799,"N/A"
"2024-01-30",2306.691817942723,0.0000064509692055979076,"N/A"
"2024-01-31",2336.8038999736787,0.0000072202658042964854,"N/A"
